id,committees,congress,bill_type,bill_number,bill_version,title,text_length,policy_area,legislative_subjects
118hconres12ih,"['Agriculture Committee', 'Ways and Means Committee']",118.0,House Concurrent Resolution,12.0,Introduced (House),Expressing the sense of Congress that all direct and indirect subsidies that benefit the production or export of sugar by all major sugar-producing and -consuming countries should be eliminated.,759.0,Foreign Trade and International Finance,"['Agricultural prices, subsidies, credit', 'Agricultural trade', 'Congressional oversight', 'Free trade and trade barriers', 'Trade agreements and negotiations']"
118hconres103ih,['Committee on House Administration'],118.0,House Concurrent Resolution,103.0,Introduced (House),"Authorizing the use of the rotunda of the Capitol for the lying in honor of the remains of Ralph Puckett, Jr., the last Medal of Honor recipient for acts performed during the Korean conflict.",722.0,Congress,"['Conflicts and wars', 'Congressional tributes', 'Military history', 'U.S. Capitol', 'U.S. history', 'Veterans']"
118hconres6ih,"['Ways and Means Committee', 'Rules Committee']",118.0,House Concurrent Resolution,6.0,Introduced (House),"Establishing the Joint Ad Hoc Committee on Trade Responsibilities to develop a plan under which the functions and responsibilities of the Office of the United States Trade Representative shall be moved to the legislative branch in accordance with article I, section 8 of the Constitution of the United States, and for other purposes.",9493.0,Congress,"['Advisory bodies', 'Congressional agencies', 'Congressional committees', 'Congressional operations and organization', 'Executive agency funding and structure', 'Office of the U.S. Trade Representative', 'Trade agreements and negotiations']"
118hconres30ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,30.0,Introduced (House),"Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove all United States Armed Forces, other than United States Armed Forces assigned to protect the United States Embassy, from Somalia.",348.0,International Affairs,"['Africa', 'Emergency planning and evacuation', 'Federal officials', 'Military personnel and dependents', 'Presidents and presidential powers, Vice Presidents', 'Somalia', 'War and emergency powers']"
118hconres34ih,['Natural Resources Committee'],118.0,House Concurrent Resolution,34.0,Introduced (House),"Expressing disapproval of the withdrawal by the Secretary of the Interior of approximately 225,504 acres of National Forest System lands in Cook, Lake, and Saint Louis Counties, Minnesota, from disposition under the United States mineral and geothermal leasing laws.",269.0,Energy,"['Administrative law and regulatory procedures', 'Department of the Interior', 'Forests, forestry, trees', 'Land transfers', 'Mining', 'Minnesota', 'Watersheds', 'Wilderness and natural areas, wildlife refuges, wild rivers, habitats']"
118hconres32ih,['Judiciary Committee'],118.0,House Concurrent Resolution,32.0,Introduced (House),Supporting the goals and ideals of International Transgender Day of Visibility.,435.0,"Civil Rights and Liberties, Minority Issues","['Commemorative events and holidays', 'Sex, gender, sexual orientation discrimination']"
118hconres4ih,['Judiciary Committee'],118.0,House Concurrent Resolution,4.0,Introduced (House),Expressing support for the Nation’s law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,353.0,Crime and Law Enforcement,"['Congressional tributes', 'Law enforcement administration and funding', 'Law enforcement officers']"
118hconres41ih,['Transportation and Infrastructure Committee'],118.0,House Concurrent Resolution,41.0,Introduced (House),Expressing support for the work of open water lifeguards as first responders and emergency response providers.,196.0,Labor and Employment,"['Congressional tributes', 'First responders and emergency personnel']"
118hconres25enr,['Committee on House Administration'],118.0,House Concurrent Resolution,25.0,Enrolled,Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,526.0,Congress,"['Commemorative events and holidays', 'Crime victims', 'Europe', 'Germany', 'Religion', 'U.S. Capitol', 'War crimes, genocide, crimes against humanity']"
118hconres84enr,['Committee on House Administration'],118.0,House Concurrent Resolution,84.0,Enrolled,"Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony to present the Congressional Gold Medal collectively to the 23d Headquarters Special Troops and the 3133d Signal Services Company, known collectively as the Ghost Army, in recognition of unique and highly distinguished service during World War II.",669.0,Congress,"['Congressional tributes', 'Military history', 'U.S. Capitol', 'Veterans']"
118hconres3rfs,"['Judiciary Committee', 'Judiciary Committee']",118.0,House Concurrent Resolution,3.0,Referred in (Senate),"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches.",483.0,Crime and Law Enforcement,"['Abortion', 'Crimes against property', 'Health facilities and institutions']"
118hconres39ih,"['Energy and Commerce Committee', 'Foreign Affairs Committee']",118.0,House Concurrent Resolution,39.0,Introduced (House),"Expressing the sense of Congress to support the case of Beatriz, a young woman from a rural area of El Salvador, living in extreme poverty and with lupus, who fought for her life against the state to allow her to terminate a pregnancy that put her at risk, which exposed the serious consequences of the absolute criminalization of abortion in El Salvador, and urging the Salvadoran state to assume its international obligations in the field of human rights.",558.0,International Affairs,"['Abortion', 'El Salvador', 'Health care coverage and access', 'Human rights', 'Latin America', 'Women']"
118hconres82ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,82.0,Introduced (House),Recognizing and supporting the efforts of the New Heights Bid Committee to bring the 2027 Fédération Internationale de Football Association (FIFA) Women’s World Cup competition to the United States and Mexico.,661.0,Sports and Recreation,"['Congressional tributes', 'Latin America', 'Mexico', 'Professional sports']"
118hconres22ih,['Education and the Workforce Committee'],118.0,House Concurrent Resolution,22.0,Introduced (House),Recognizing the significance of equal pay and the disparity between wages paid to men and women.,225.0,Labor and Employment,"['Employment discrimination and employee rights', 'Labor standards', 'Sex, gender, sexual orientation discrimination', 'Women']"
118hconres2ih,['Judiciary Committee'],118.0,House Concurrent Resolution,2.0,Introduced (House),Expressing support for the Nation’s law enforcement agencies and condemning any efforts to defund or dismantle law enforcement agencies.,353.0,Crime and Law Enforcement,"['Congressional tributes', 'Law enforcement administration and funding', 'Law enforcement officers']"
118hconres77ih,['Education and the Workforce Committee'],118.0,House Concurrent Resolution,77.0,Introduced (House),"Expressing support for the designation of the week of November 13 through November 19, 2023, as National Caregiving Youth Week to raise awareness and encourage national recognition of children and adolescents under 18 years of age who serve as a primary or secondary caregiver for family or household members.",487.0,Families,"['Adult day care', 'Commemorative events and holidays', 'Congressional tributes', 'Family relationships']"
118hconres24ih,['Judiciary Committee'],118.0,House Concurrent Resolution,24.0,Introduced (House),"Calling an Article V Convention for proposing a Fiscal Responsibility Amendment to the United States Constitution and stipulating ratification by a vote of We the People, and for other purposes.",1458.0,Government Operations and Politics,"['Constitution and constitutional amendments', 'State and local government operations']"
118hconres85enr,['Committee on House Administration'],118.0,House Concurrent Resolution,85.0,Enrolled,"Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony to present the Congressional Gold Medal collectively to the women in the United States who joined the workforce during World War II, providing the aircraft, vehicles, weaponry, ammunition, and other material to win the war and who were referred to as Rosie the Riveter, in recognition of their contributions to the United States and the inspiration they have provided to ensuing generations.",820.0,Congress,"['Congressional tributes', 'Military history', 'U.S. Capitol', 'U.S. history', 'Women']"
118hconres89eh,['Committee on House Administration'],118.0,House Concurrent Resolution,89.0,Engrossed (House),Authorizing the use of Emancipation Hall in the Capitol Visitor Center for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,523.0,Congress,"['Commemorative events and holidays', 'Crime victims', 'Europe', 'Germany', 'Religion', 'U.S. Capitol', 'War crimes, genocide, crimes against humanity']"
118hconres37ih,['Energy and Commerce Committee'],118.0,House Concurrent Resolution,37.0,Introduced (House),"Expressing the sense of Congress that there is a climate emergency which demands a massive-scale mobilization to halt, reverse, and address its consequences and causes.",908.0,Environmental Protection,"['Air quality', 'Climate change and greenhouse gases', 'Economic performance and conditions', 'Emergency planning and evacuation', 'Presidents and presidential powers, Vice Presidents']"
118hconres17rh,['Energy and Commerce Committee'],118.0,House Concurrent Resolution,17.0,Reported in (House),Expressing the sense of Congress that the Federal Government should not impose any restrictions on the export of crude oil or other petroleum products.,606.0,Energy,"['Competitiveness, trade promotion, trade deficits', 'Oil and gas', 'Trade restrictions']"
118hjres49rh,['Natural Resources Committee'],118.0,House Concurrent Resolution,49.0,Reported in (House),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to Endangered and Threatened Wildlife and Plants; Endangered Species Status for Northern Long-Eared Bat.",300.0,Animals,"['Administrative law and regulatory procedures', 'Department of the Interior', 'Endangered and threatened species', 'Mammals']"
118hjres35ih,['Judiciary Committee'],118.0,House Concurrent Resolution,35.0,Introduced (House),Proposing an amendment to the Constitution of the United States to require individuals to demonstrate cognitive competence as a condition of holding the office of President or Vice President.,767.0,Government Operations and Politics,"['Constitution and constitutional amendments', 'Presidents and presidential powers, Vice Presidents']"
118hjres55ih,['Judiciary Committee'],118.0,House Concurrent Resolution,55.0,Introduced (House),Proposing a balanced budget amendment to the Constitution of the United States.,4021.0,Economics and Public Finance,"['Budget deficits and national debt', 'Constitution and constitutional amendments', 'Economic performance and conditions', 'Income tax rates', 'Legislative rules and procedure']"
118hjres85ih,['Financial Services Committee'],118.0,House Concurrent Resolution,85.0,Introduced (House),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to Small Business Lending Under the Equal Credit Opportunity Act (Regulation B).",262.0,Finance and Financial Sector,"['Banking and financial institutions regulation', 'Congressional-executive branch relations', 'Consumer Financial Protection Bureau', 'Credit and credit markets', 'Small business']"
118hjres1ih,['Judiciary Committee'],118.0,House Concurrent Resolution,1.0,Introduced (House),Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.,591.0,Law,"['Constitution and constitutional amendments', 'Judges', 'Supreme Court']"
118hjres92ih,['Agriculture Committee'],118.0,House Concurrent Resolution,92.0,Introduced (House),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Food and Nutrition Service relating to Application of Bostock v. Clayton County to Program Discrimination Complaint Processing-Policy Update.",515.0,Agriculture and Food,"['Administrative law and regulatory procedures', 'Congressional oversight', 'Department of Agriculture', 'Food assistance and relief', 'Poverty and welfare assistance', 'Sex, gender, sexual orientation discrimination']"
118hjres31ih,['Veterans'],118.0,House Concurrent Resolution,31.0,Introduced (House),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Veterans Affairs relating to Reproductive Health Services.",219.0,Armed Forces and National Security,"['Abortion', 'Administrative law and regulatory procedures', 'Department of Veterans Affairs', 'Family planning and birth control', 'Sex and reproductive health', 'Veterans']"
118hjres11ih,['Judiciary Committee'],118.0,House Concurrent Resolution,11.0,Introduced (House),Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,2193.0,Congress,"['Congressional elections', 'Constitution and constitutional amendments', 'House of Representatives', 'Members of Congress', 'Senate']"
118hjres38ih,['Judiciary Committee'],118.0,House Concurrent Resolution,38.0,Introduced (House),Proposing an amendment to the Constitution of the United States relating to parental rights.,1548.0,Families,"['Child care and development', 'Constitution and constitutional amendments', 'Elementary and secondary education', 'Family relationships']"
118hjres10ih,['Judiciary Committee'],118.0,House Concurrent Resolution,10.0,Introduced (House),Proposing an amendment to the Constitution of the United States to provide certain line item veto authority to the President.,1965.0,Economics and Public Finance,"['Appropriations', 'Congressional-executive branch relations', 'Constitution and constitutional amendments', 'Legislative rules and procedure', 'Presidents and presidential powers, Vice Presidents']"
118hjres97ih,['Judiciary Committee'],118.0,House Concurrent Resolution,97.0,Introduced (House),"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Justice relating to Office of the Attorney General; Home Confinement Under the Coronavirus Aid, Relief, and Economic Security (CARES) Act.",286.0,Crime and Law Enforcement,"['Administrative law and regulatory procedures', 'Cardiovascular and respiratory health', 'Congressional oversight', 'Correctional facilities and imprisonment', 'Department of Justice', 'Detention of persons', 'Infectious and parasitic diseases']"
118hjres34ih,['Judiciary Committee'],118.0,House Concurrent Resolution,34.0,Introduced (House),"Expressing the sense of Congress that a woman’s ability to travel out of State to receive services available in that State which would otherwise not be available in the State that they reside in, is protected under Article IV of the Constitution.",238.0,"Civil Rights and Liberties, Minority Issues","['State and local government operations', 'Travel and tourism', 'Women']"
118hjres98enr,['Education and the Workforce Committee'],118.0,House Concurrent Resolution,98.0,Enrolled,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to Standard for Determining Joint Employer Status.",227.0,Labor and Employment,"['Corporate finance and management', 'Employee benefits and pensions']"
118hjres66rh,['Financial Services Committee'],118.0,House Concurrent Resolution,66.0,Reported in (House),Disapproving the rule submitted by the Consumer Financial Protection Bureau relating to Small Business Lending Under the Equal Credit Opportunity Act (Regulation B).,244.0,Finance and Financial Sector,"['Banking and financial institutions regulation', 'Congressional-executive branch relations', 'Consumer Financial Protection Bureau', 'Credit and credit markets', 'Small business']"
118hjres41ih,['Judiciary Committee'],118.0,House Concurrent Resolution,41.0,Introduced (House),Disapproving of the rule submitted by the Department of Homeland Security relating to Public Charge Ground of Inadmissibility.,201.0,Immigration,"['Administrative law and regulatory procedures', 'Department of Homeland Security', 'Immigrant health and welfare', 'Immigration status and procedures']"
118hjres6ih,['Judiciary Committee'],118.0,House Concurrent Resolution,6.0,Introduced (House),Proposing an amendment to the Constitution of the United States to provide for balanced budgets for the Government.,2902.0,Economics and Public Finance,"['Budget deficits and national debt', 'Constitution and constitutional amendments', 'Legislative rules and procedure']"
118hjres19ih,['Judiciary Committee'],118.0,House Concurrent Resolution,19.0,Introduced (House),Proposing a balanced budget amendment to the Constitution requiring that each agency and department’s funding is justified.,6571.0,Economics and Public Finance,"['Budget deficits and national debt', 'Budget process', 'Constitution and constitutional amendments', 'Executive agency funding and structure', 'Income tax rates', 'Legislative rules and procedure']"
118hjres71ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,71.0,Introduced (House),"Relating to a national emergency declared by the President on May 22, 2003.",209.0,Emergency Management,"['Iraq', 'Middle East', 'Presidents and presidential powers, Vice Presidents', 'War and emergency powers']"
118hjres27enr,['Transportation and Infrastructure Committee'],118.0,House Concurrent Resolution,27.0,Enrolled,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to Revised Definition of Waters of the United States.",304.0,Environmental Protection,"['Administrative law and regulatory procedures', 'Aquatic ecology', 'Army Corps of Engineers', 'Congressional oversight', 'Environmental Protection Agency (EPA)', 'Environmental regulatory procedures', 'Lakes and rivers', 'Marine pollution', 'Water quality', 'Wetlands']"
118hjres23ih,['Judiciary Committee'],118.0,House Concurrent Resolution,23.0,Introduced (House),"Proposing an amendment to the Constitution of the United States providing that the Senate is made more representative by adding twelve Senators to be elected nationwide through ranked choice voting, and providing for twelve Electors at-large for President and Vice President, who shall cast their ballots for the respective winners of the national popular vote.",7668.0,Government Operations and Politics,"['Congressional elections', 'Constitution and constitutional amendments', 'Elections, voting, political campaign regulation', 'Senate', 'State and local government operations']"
118hjres115ih,['Agriculture Committee'],118.0,House Concurrent Resolution,115.0,Introduced (House),Disapproving the rule submitted by the Department of Agriculture relating to Importation of Fresh Beef From Paraguay.,196.0,Agriculture and Food,"['Administrative law and regulatory procedures', 'Animal and plant health', 'Congressional oversight', 'Department of Agriculture', 'Food industry and services', 'Latin America', 'Meat', 'Paraguay', 'Trade restrictions']"
118hjres40ih,['Judiciary Committee'],118.0,House Concurrent Resolution,40.0,Introduced (House),"Proposing an amendment to the Constitution of the United States to prohibit voting in Federal, State, or local elections by individuals who are not citizens of the United States.",1061.0,Government Operations and Politics,"['Constitution and constitutional amendments', 'Elections, voting, political campaign regulation', 'Immigration status and procedures', 'Voting rights']"
118hjres68ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,68.0,Introduced (House),"Relating to a national emergency declared by the President on October 27, 2006.",213.0,Emergency Management,"['Africa', 'Democratic Republic of the Congo', 'Presidents and presidential powers, Vice Presidents', 'War and emergency powers']"
118hjres42enr,"['Oversight and Accountability Committee', 'Homeland Security and Governmental Affairs Committee']",118.0,House Concurrent Resolution,42.0,Enrolled,Disapproving the action of the District of Columbia Council in approving the Comprehensive Policing and Justice Reform Amendment Act of 2022.,381.0,Government Operations and Politics,"['Congressional oversight', 'District of Columbia', 'Law enforcement administration and funding', 'State and local government operations']"
118hjres16ih,['Judiciary Committee'],118.0,House Concurrent Resolution,16.0,Introduced (House),Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.,1057.0,Government Operations and Politics,"['Age discrimination', 'Constitution and constitutional amendments', 'Elections, voting, political campaign regulation', 'Voting rights']"
118hjres5ih,['Judiciary Committee'],118.0,House Concurrent Resolution,5.0,Introduced (House),Proposing an amendment to the Constitution of the United States to limit the number of terms an individual may serve as a Member of Congress.,1907.0,Congress,"['Congressional elections', 'Constitution and constitutional amendments', 'House of Representatives', 'Members of Congress', 'Senate']"
118hjres39enr,['Ways and Means Committee'],118.0,House Concurrent Resolution,39.0,Enrolled,"Disapproving the rule submitted by the Department of Commerce relating to Procedures Covering Suspension of Liquidation, Duties and Estimated Duties in Accord With Presidential Proclamation 10414.",275.0,Foreign Trade and International Finance,"['Administrative law and regulatory procedures', 'Alternative and renewable resources', 'Asia', 'Cambodia', 'China', 'Competitiveness, trade promotion, trade deficits', 'Department of Commerce', 'Malaysia', 'Tariffs', 'Thailand', 'Vietnam']"
118hjres74ih,['Foreign Affairs Committee'],118.0,House Concurrent Resolution,74.0,Introduced (House),"Relating to a national emergency declared by the President on May 16, 2012.",209.0,Emergency Management,"['Middle East', 'Presidents and presidential powers, Vice Presidents', 'War and emergency powers', 'Yemen']"
118hjres20ih,['Judiciary Committee'],118.0,House Concurrent Resolution,20.0,Introduced (House),Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,3423.0,Congress,"['Congressional elections', 'Constitution and constitutional amendments', 'House of Representatives', 'Members of Congress', 'Senate']"
118hjres67ih,['Judiciary Committee'],118.0,House Concurrent Resolution,67.0,Introduced (House),Proposing an amendment to the Constitution of the United States requiring that the Federal budget be balanced.,3940.0,Economics and Public Finance,"['Budget deficits and national debt', 'Constitution and constitutional amendments', 'Income tax rates', 'Judicial review and appeals', 'Legislative rules and procedure', 'Members of Congress']"
118hjres17ih,['Oversight and Accountability Committee'],118.0,House Concurrent Resolution,17.0,Introduced (House),Disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,368.0,Government Operations and Politics,"['Congressional oversight', 'District of Columbia', 'Elections, voting, political campaign regulation', 'Immigration status and procedures', 'State and local government operations', 'Voting rights']"
118hjres62enr,"['Rules and Administration Committee', 'Committee on House Administration']",118.0,House Concurrent Resolution,62.0,Enrolled,Providing for the reappointment of Michael Govan as a citizen regent of the Board of Regents of the Smithsonian Institution.,493.0,Government Operations and Politics,"['Federal officials', 'Museums, exhibitions, cultural centers', 'Smithsonian Institution']"
118hjres7enr,"['Finance Committee', 'Transportation and Infrastructure Committee']",118.0,House Concurrent Resolution,7.0,Enrolled,"Relating to a national emergency declared by the President on March 13, 2020.",228.0,Emergency Management,"['Cardiovascular and respiratory health', 'Emergency medical services and trauma care', 'Health programs administration and funding', 'Infectious and parasitic diseases', 'Presidents and presidential powers, Vice Presidents', 'War and emergency powers']"
118hjres47ih,['Judiciary Committee'],118.0,House Concurrent Resolution,47.0,Introduced (House),Proposing an amendment to the Constitution of the United States to repeal the sixteenth article of amendment.,1198.0,Taxation,"['Constitution and constitutional amendments', 'General taxation matters']"
