,Foreign Affairs Committee,Foreign Relations Committee,Agriculture Committee,Ways and Means Committee,Education and the Workforce Committee,Energy and Commerce Committee,Judiciary Committee,Transportation and Infrastructure Committee,Committee on House Administration,Finance Committee,Armed Services Committee,Veterans,Natural Resources Committee,Appropriations Committee,Financial Services Committee,Rules Committee,Oversight and Accountability Committee,Homeland Security Committee,Energy and Natural Resources Committee,Budget Committee,Intelligence (Permanent Select) Committee,Homeland Security and Governmental Affairs Committee,,Affairs Committee,"Banking, Housing, and Urban Affairs Committee",Environment and Public Works Committee,"Science, Space, and Technology Committee","Commerce, Science, and Transportation Committee","Health, Education, Labor, and Pensions Committee","Agriculture, Nutrition, and Forestry Committee",Small Business Committee,Intelligence (Select) Committee,Small Business and Entrepreneurship Committee,Rules and Administration Committee,Indian Affairs Committee,United States Senate Caucus on International Narcotics Control,Ethics Committee,Aging (Special) Committee
Armed Services Committee,48,2,8,30,17,34,33,10,3,0,0,59,14,5,8,8,32,11,0,8,14,3,8,0,1,0,10,1,0,0,5,0,0,1,0,0,0,0
Veterans,2,0,2,18,13,15,15,7,3,0,59,0,6,4,5,2,7,2,0,11,0,1,105,43,0,0,6,1,0,0,2,0,0,1,0,0,0,0
Natural Resources Committee,16,1,68,41,25,62,38,51,13,0,14,6,0,11,7,14,9,6,42,13,0,0,2,0,0,3,21,7,0,2,1,0,1,0,12,0,0,0
Appropriations Committee,5,0,5,16,13,19,17,5,13,0,5,4,11,0,6,14,13,2,0,19,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Financial Services Committee,53,8,30,66,32,35,68,19,25,0,8,5,7,6,0,9,48,5,0,17,6,0,1,0,65,0,2,0,0,2,8,0,0,0,1,0,0,0
Rules Committee,16,0,8,36,16,23,35,12,24,1,8,2,14,14,9,0,32,2,0,38,3,2,2,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0
Oversight and Accountability Committee,32,4,15,69,45,49,97,18,62,0,32,7,9,13,48,32,0,16,3,19,5,93,4,2,2,0,13,1,0,0,8,0,0,0,0,0,1,0
Homeland Security Committee,18,2,9,22,6,17,51,23,1,1,11,2,6,2,5,2,16,0,0,4,4,58,1,0,0,0,9,16,0,0,1,0,0,0,0,0,0,0
Energy and Natural Resources Committee,1,0,3,0,4,13,3,1,0,0,0,0,42,0,0,0,3,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0
Budget Committee,1,0,10,42,21,32,29,17,7,1,8,11,13,19,17,38,19,4,0,0,2,1,5,0,1,0,8,0,1,0,4,1,0,1,0,0,0,0
Intelligence (Permanent Select) Committee,19,2,0,3,2,3,23,3,0,0,14,0,0,0,6,3,5,4,0,2,0,2,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,1,0,1,2,0,4,11,13,0,0,3,1,0,1,0,2,93,58,0,1,2,0,0,0,1,0,1,1,1,0,1,0,3,1,0,0,0,0
,2,0,2,8,6,4,6,3,3,0,8,105,2,2,1,2,4,1,0,5,0,0,0,43,0,0,3,1,0,0,1,0,0,0,0,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,2,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banking, Housing, and Urban Affairs Committee",5,1,1,1,1,1,1,0,2,1,1,0,0,0,65,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Environment and Public Works Committee,1,0,0,2,0,8,2,18,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0
"Science, Space, and Technology Committee",6,1,8,15,22,42,12,31,6,0,10,6,21,5,2,4,13,9,8,8,2,1,3,0,0,2,0,16,3,0,3,0,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",0,0,0,0,1,12,2,13,0,0,1,1,7,0,0,0,1,16,0,0,0,1,1,0,0,0,16,0,1,0,0,0,5,1,0,0,0,0
"Health, Education, Labor, and Pensions Committee",0,0,0,2,13,29,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,10,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Small Business Committee,1,0,2,8,8,3,11,4,1,0,5,2,1,0,8,2,8,1,1,4,0,1,1,0,0,1,3,0,0,0,0,0,7,0,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,3,0,7,0,0,1,0,0,0,0
Rules and Administration Committee,0,1,0,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1
Indian Affairs Committee,0,0,0,0,0,2,0,0,1,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
United States Senate Caucus on International Narcotics Control,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethics Committee,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
