,Agriculture Committee,Ways and Means Committee,Education and the Workforce Committee,Energy and Commerce Committee,Judiciary Committee,Oversight and Accountability Committee,Transportation and Infrastructure Committee,Budget Committee,Rules Committee,Committee on House Administration,Foreign Affairs Committee,Foreign Relations Committee,Natural Resources Committee,Financial Services Committee,,Armed Services Committee,Veterans,Rules and Administration Committee,Appropriations Committee,"Science, Space, and Technology Committee",Small Business Committee,Small Business and Entrepreneurship Committee,"Commerce, Science, and Transportation Committee",Homeland Security Committee,Indian Affairs Committee,Environment and Public Works Committee,Homeland Security and Governmental Affairs Committee,Intelligence (Permanent Select) Committee,Affairs Committee,"Health, Education, Labor, and Pensions Committee","Banking, Housing, and Urban Affairs Committee",Energy and Natural Resources Committee,"Agriculture, Nutrition, and Forestry Committee",Finance Committee,Ethics Committee,Intelligence (Select) Committee,Aging (Special) Committee
Environment and Public Works Committee,0,0,0,1,0,0,12,1,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,0,1,2,1,2,70,13,8,0,1,1,0,0,3,0,0,0,1,0,1,2,0,1,37,0,0,0,1,0,0,3,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,8,14,9,13,24,17,9,3,4,5,30,2,8,17,0,24,0,0,0,7,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,0,0
Affairs Committee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Health, Education, Labor, and Pensions Committee",0,2,14,38,5,1,1,1,0,1,0,0,0,1,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
"Banking, Housing, and Urban Affairs Committee",3,1,2,0,2,0,1,4,0,4,0,2,0,40,0,0,0,1,0,0,1,1,3,0,0,0,3,0,0,5,0,3,1,15,0,0,0
Energy and Natural Resources Committee,2,0,0,4,1,0,0,0,0,1,0,0,33,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Finance Committee,1,5,2,5,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0
Ethics Committee,0,2,2,0,5,3,0,1,4,4,0,0,0,3,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
