,Energy and Commerce Committee,Judiciary Committee,Committee on House Administration,Rules and Administration Committee,Education and the Workforce Committee,Ways and Means Committee,Foreign Relations Committee,Budget Committee,Oversight and Accountability Committee,Armed Services Committee,Natural Resources Committee,,Veterans,Transportation and Infrastructure Committee,Appropriations Committee,Homeland Security Committee,Financial Services Committee,Foreign Affairs Committee,Rules Committee,Homeland Security and Governmental Affairs Committee,Energy and Natural Resources Committee,"Science, Space, and Technology Committee",Environment and Public Works Committee,Small Business Committee,Agriculture Committee,Intelligence (Permanent Select) Committee,Finance Committee,"Banking, Housing, and Urban Affairs Committee","Health, Education, Labor, and Pensions Committee","Commerce, Science, and Transportation Committee","Agriculture, Nutrition, and Forestry Committee",Affairs Committee,Ethics Committee,Indian Affairs Committee,Intelligence (Select) Committee,Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),United States Senate Caucus on International Narcotics Control,Small Business and Entrepreneurship Committee,Aging (Special) Committee
Intelligence (Permanent Select) Committee,3,16,1,0,0,1,0,1,7,13,1,0,0,3,0,7,2,8,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Finance Committee,1,4,0,1,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
"Banking, Housing, and Urban Affairs Committee",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Health, Education, Labor, and Pensions Committee",9,0,0,1,6,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Commerce, Science, and Transportation Committee",7,0,0,0,0,0,0,1,0,0,4,1,1,7,0,6,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethics Committee,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Affairs Committee,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Senate Caucus on International Narcotics Control,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
