,Energy and Commerce Committee,Judiciary Committee,Foreign Affairs Committee,Foreign Relations Committee,Committee on House Administration,Oversight and Accountability Committee,Natural Resources Committee,Transportation and Infrastructure Committee,Finance Committee,Ways and Means Committee,Financial Services Committee,Agriculture Committee,Rules Committee,Homeland Security and Governmental Affairs Committee,Rules and Administration Committee,Education and the Workforce Committee,Veterans,"Banking, Housing, and Urban Affairs Committee",,Affairs Committee,Armed Services Committee,"Science, Space, and Technology Committee",Small Business Committee,Small Business and Entrepreneurship Committee,"Agriculture, Nutrition, and Forestry Committee",Budget Committee,"Commerce, Science, and Transportation Committee","Health, Education, Labor, and Pensions Committee",Environment and Public Works Committee,Homeland Security Committee,Indian Affairs Committee,Intelligence (Permanent Select) Committee,Energy and Natural Resources Committee,Appropriations Committee,Ethics Committee,Aging (Special) Committee,Intelligence (Select) Committee
Financial Services Committee,44,43,41,8,13,25,12,28,0,34,0,17,10,1,0,28,6,29,3,0,7,6,5,0,0,9,0,0,1,5,0,4,0,2,0,0,0
Agriculture Committee,36,16,6,0,1,14,79,21,0,22,17,0,3,0,0,22,6,0,1,0,8,7,4,0,2,9,0,0,1,4,0,3,4,5,0,0,0
Rules Committee,8,16,13,0,4,16,3,7,0,16,10,3,0,0,0,5,1,0,0,0,4,1,2,0,0,18,0,0,0,2,0,2,0,2,1,0,0
Homeland Security and Governmental Affairs Committee,0,2,0,0,0,18,0,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0
Rules and Administration Committee,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
Education and the Workforce Committee,101,47,14,1,11,21,19,24,0,65,28,22,5,0,0,0,12,1,5,0,11,5,5,0,0,8,0,5,0,10,0,4,0,5,0,0,0
Veterans,12,10,7,0,2,14,14,6,0,17,6,6,1,0,1,12,0,1,51,13,17,2,4,0,0,1,0,0,0,3,0,1,0,2,0,0,0
"Banking, Housing, and Urban Affairs Committee",1,6,6,2,0,3,0,2,6,1,29,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
,3,4,2,0,0,8,4,3,0,11,3,1,0,0,0,5,51,0,0,13,11,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Affairs Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armed Services Committee,20,16,20,1,2,18,15,11,0,23,7,8,4,0,1,11,17,0,11,0,0,7,3,0,0,3,0,0,0,5,0,5,0,1,0,0,0
"Science, Space, and Technology Committee",21,9,5,0,3,9,11,15,0,9,6,7,1,0,0,5,2,0,1,0,7,0,2,0,0,1,6,0,1,5,0,2,7,0,0,0,0
Small Business Committee,5,7,3,0,0,7,5,8,0,4,5,4,2,1,0,5,4,1,0,0,3,2,0,15,0,3,0,0,0,2,0,1,1,1,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Budget Committee,12,14,4,0,4,15,10,13,0,14,9,9,18,1,1,8,1,0,0,0,3,1,3,0,0,0,0,0,1,2,0,2,0,14,0,0,0
"Commerce, Science, and Transportation Committee",11,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Health, Education, Labor, and Pensions Committee",7,1,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environment and Public Works Committee,3,1,1,0,0,1,3,11,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Homeland Security Committee,12,32,10,0,5,12,5,15,1,17,5,4,2,7,0,10,3,0,1,0,5,5,2,0,0,2,0,0,0,0,0,7,0,1,0,0,0
Indian Affairs Committee,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,3,13,7,0,5,8,3,4,0,5,4,3,2,0,0,4,1,0,0,0,5,2,1,0,0,2,0,0,0,7,0,0,0,0,0,0,0
Energy and Natural Resources Committee,3,0,0,0,0,1,14,1,0,0,0,4,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appropriations Committee,4,3,1,0,0,1,4,3,0,5,2,5,2,0,0,5,2,0,1,0,1,0,1,0,0,14,0,0,0,1,0,0,0,0,0,0,0
Ethics Committee,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
