,Armed Services Committee,Judiciary Committee,Transportation and Infrastructure Committee,Foreign Affairs Committee,Foreign Relations Committee,"Commerce, Science, and Transportation Committee",Education and the Workforce Committee,Oversight and Accountability Committee,Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee","Science, Space, and Technology Committee",Natural Resources Committee,Veterans,Homeland Security and Governmental Affairs Committee,"Health, Education, Labor, and Pensions Committee",Rules and Administration Committee,Financial Services Committee,Energy and Commerce Committee,Small Business Committee,Ways and Means Committee,Rules Committee,Budget Committee,Energy and Natural Resources Committee,Committee on House Administration,Environment and Public Works Committee,Homeland Security Committee,,Small Business and Entrepreneurship Committee,Finance Committee,Intelligence (Permanent Select) Committee,Affairs Committee,Intelligence (Select) Committee,"Banking, Housing, and Urban Affairs Committee",Indian Affairs Committee,Ethics Committee,Appropriations Committee,Aging (Special) Committee,Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),United States Senate Caucus on International Narcotics Control
"Science, Space, and Technology Committee",137,176,357,136,7,124,251,185,160,0,0,384,36,8,26,2,110,604,65,279,37,56,60,76,18,84,16,5,0,41,0,0,0,0,8,26,0,0,0
Natural Resources Committee,227,485,642,210,2,60,382,234,914,20,384,0,79,4,1,2,168,881,46,516,129,151,713,146,87,70,33,1,3,19,0,0,0,136,2,104,0,0,0
Veterans,444,154,77,53,2,4,131,130,46,0,36,79,0,3,4,12,61,156,19,169,15,38,5,31,0,26,1036,0,0,5,392,0,5,0,0,14,1,0,0
Homeland Security and Governmental Affairs Committee,13,65,89,6,2,7,8,927,5,0,8,4,3,0,1,10,9,20,8,16,9,19,2,20,6,357,2,15,1,6,0,0,5,0,1,2,0,0,0
"Health, Education, Labor, and Pensions Committee",2,34,7,4,2,5,168,25,2,0,26,1,4,1,0,9,7,284,2,18,0,7,0,5,1,6,1,8,7,1,0,0,12,1,0,2,2,0,1
Rules and Administration Committee,11,20,15,0,11,7,0,0,0,11,2,2,12,10,9,0,0,0,0,1,0,11,11,79,12,1,0,11,11,0,0,11,11,11,0,0,10,0,0
Financial Services Committee,129,779,427,640,52,4,474,460,345,6,110,168,61,9,7,0,0,595,114,791,97,157,2,271,6,77,31,1,6,90,0,2,528,8,14,46,0,0,0
Energy and Commerce Committee,396,1624,1021,563,7,160,1499,662,649,3,604,881,156,20,284,0,595,0,83,4204,237,240,82,228,43,245,77,0,94,69,0,0,8,15,1,153,0,1,3
Small Business Committee,34,98,84,28,0,0,92,92,52,0,65,46,19,8,2,0,114,83,0,144,15,25,2,13,1,21,9,123,2,5,1,0,4,0,1,12,0,0,0
Ways and Means Committee,338,1195,577,598,26,2,1585,824,422,0,279,516,169,16,18,1,791,4204,144,0,378,364,0,321,4,243,99,2,192,64,3,1,13,1,13,194,0,1,0
Rules Committee,72,315,96,162,0,0,155,308,57,0,37,129,15,9,0,0,97,237,15,378,0,408,0,225,1,15,6,1,2,25,0,0,3,0,32,109,0,0,0
Budget Committee,65,238,155,44,4,6,153,222,103,1,56,151,38,19,7,11,157,240,25,364,408,0,5,86,4,27,21,3,8,20,3,1,8,0,4,219,0,0,0
Energy and Natural Resources Committee,7,14,14,3,0,0,12,16,31,6,60,713,5,2,0,11,2,82,2,0,0,5,0,2,7,2,1,0,0,0,0,0,3,3,0,0,0,0,0
Committee on House Administration,59,484,109,53,0,1,386,757,52,0,76,146,31,20,5,79,271,228,13,321,225,86,2,0,0,40,13,0,1,34,0,0,15,1,29,105,0,0,0
Environment and Public Works Committee,2,7,203,4,1,4,3,4,5,0,18,87,0,6,1,12,6,43,1,4,1,4,7,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
Homeland Security Committee,148,614,331,187,9,97,106,190,93,0,84,70,26,357,6,1,77,245,21,243,15,27,2,40,0,0,14,1,5,94,0,7,0,0,8,20,0,0,0
,109,54,36,21,0,3,65,70,27,0,16,33,1036,2,1,0,31,77,9,99,6,21,1,13,0,14,0,0,0,2,392,0,2,0,0,6,0,0,0
Small Business and Entrepreneurship Committee,0,12,0,0,0,8,0,3,0,2,5,1,0,15,8,11,1,0,123,2,1,3,0,0,2,1,0,0,16,0,0,0,5,0,0,1,0,0,0
Finance Committee,2,25,7,2,6,3,9,5,4,0,0,3,0,1,7,11,6,94,2,192,2,8,0,1,2,5,0,16,0,0,0,0,33,1,0,2,1,0,1
Intelligence (Permanent Select) Committee,198,291,50,248,6,2,41,125,26,0,41,19,5,6,1,0,90,69,5,64,25,20,0,34,0,94,2,0,0,0,0,15,1,0,8,4,0,0,0
Affairs Committee,4,0,0,0,0,0,0,2,0,0,0,0,392,0,0,0,0,0,1,3,0,3,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,0,1,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0
"Banking, Housing, and Urban Affairs Committee",2,24,12,25,11,10,10,15,12,4,0,0,5,5,12,11,528,8,4,13,3,8,3,15,0,0,2,5,33,1,0,0,0,6,0,1,0,0,0
Indian Affairs Committee,0,6,0,0,0,0,8,0,0,0,0,136,0,0,1,11,8,15,0,1,0,0,3,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
Ethics Committee,4,32,1,6,0,0,7,19,4,0,8,2,0,1,0,0,14,1,1,13,32,4,0,29,0,8,0,0,0,8,0,0,0,0,0,1,0,0,0
Appropriations Committee,27,132,38,42,1,1,127,87,36,0,26,104,14,2,2,0,46,153,12,194,109,219,0,105,1,20,6,1,2,4,0,0,1,0,1,0,0,1,0
Aging (Special) Committee,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Commission on Security and Cooperation in Europe (U.S. Helsinki Commission),1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
United States Senate Caucus on International Narcotics Control,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
