,Foreign Affairs Committee,Foreign Relations Committee,Armed Services Committee,Veterans,"Commerce, Science, and Transportation Committee",Energy and Commerce Committee,Ways and Means Committee,Financial Services Committee,"Health, Education, Labor, and Pensions Committee",Transportation and Infrastructure Committee,Rules and Administration Committee,"Science, Space, and Technology Committee",Judiciary Committee,Oversight and Accountability Committee,Committee on House Administration,Education and the Workforce Committee,Natural Resources Committee,Agriculture Committee,"Agriculture, Nutrition, and Forestry Committee",Rules Committee,"Banking, Housing, and Urban Affairs Committee",Energy and Natural Resources Committee,Homeland Security Committee,,Affairs Committee,Small Business Committee,Appropriations Committee,Budget Committee,Homeland Security and Governmental Affairs Committee,Finance Committee,Ethics Committee,Environment and Public Works Committee,Small Business and Entrepreneurship Committee,Intelligence (Permanent Select) Committee,Indian Affairs Committee,Intelligence (Select) Committee,Aging (Special) Committee
Education and the Workforce Committee,12,0,18,9,2,159,158,35,33,26,0,24,109,56,35,0,35,20,3,24,0,1,17,6,0,6,21,18,1,0,0,1,0,2,0,0,0
Natural Resources Committee,12,0,18,4,10,62,50,11,0,51,0,35,51,22,19,35,0,47,1,19,0,79,7,2,0,1,15,7,1,0,0,13,0,0,11,0,0
Agriculture Committee,14,0,5,2,0,43,24,27,0,16,0,8,23,12,2,20,47,0,12,5,1,3,9,1,0,0,1,3,1,0,1,0,0,2,0,0,0
"Agriculture, Nutrition, and Forestry Committee",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,12,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rules Committee,7,0,3,0,0,35,44,7,0,7,0,3,31,31,24,24,19,5,0,0,1,0,2,0,0,1,19,55,0,0,8,0,0,1,0,0,0
"Banking, Housing, and Urban Affairs Committee",1,0,0,3,2,1,3,49,0,0,1,0,3,2,2,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Energy and Natural Resources Committee,0,0,1,0,0,5,0,0,0,2,1,12,1,2,0,1,79,3,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Homeland Security Committee,14,1,16,0,11,25,18,2,4,55,1,10,72,23,4,17,7,9,0,2,0,1,0,0,0,0,0,1,29,1,0,0,0,9,0,2,0
,1,0,6,89,0,5,5,1,0,6,0,0,1,1,1,6,2,1,0,0,2,0,0,0,42,1,1,1,0,0,0,0,0,0,0,0,0
Affairs Committee,0,0,1,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0
Small Business Committee,1,0,1,2,0,6,14,11,0,5,0,6,3,8,0,6,1,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,13,0,0,0,0
Appropriations Committee,0,0,0,3,0,25,36,8,0,7,0,1,19,10,14,21,15,1,0,19,0,0,0,1,0,3,0,16,0,0,0,0,0,0,0,0,0
Budget Committee,1,0,3,2,1,23,40,11,0,11,1,4,21,23,2,18,7,3,1,55,1,1,1,1,1,2,16,0,0,2,1,0,0,0,0,0,0
Homeland Security and Governmental Affairs Committee,2,0,3,0,0,2,0,1,0,5,1,2,2,118,5,1,1,1,0,0,0,0,29,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Finance Committee,0,1,0,0,0,3,16,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ethics Committee,0,0,0,0,0,0,0,1,0,0,0,0,3,2,3,0,0,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Environment and Public Works Committee,0,0,0,0,1,2,1,0,0,32,1,3,1,0,0,1,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Small Business and Entrepreneurship Committee,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Permanent Select) Committee,12,0,20,1,0,3,1,4,0,5,0,0,19,8,1,2,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Affairs Committee,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence (Select) Committee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aging (Special) Committee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
